"barcode","dataset","PAX8","GATA3","ESR1"
"TCGA-AN-A0FZ-01A-11R-A034-07","BRCA.mRNA",0.416,2.37625,3.69791666666667
"TCGA-AN-A0G0-01A-11R-A034-07","BRCA.mRNA",-0.0106666666666667,-1.70975,-4.1725
"TCGA-AN-A0XL-01A-11R-A10J-07","BRCA.mRNA",-0.0675,2.046875,4.21075
"TCGA-AN-A0XN-01A-21R-A109-07","BRCA.mRNA",0.3985,0.86175,1.924
"TCGA-AN-A0XO-01A-11R-A109-07","BRCA.mRNA",0.639,1.6745,4.22175
"TCGA-AN-A0XP-01A-11R-A109-07","BRCA.mRNA",-1.022,2.569125,5.569
"TCGA-AN-A0XR-01A-11R-A109-07","BRCA.mRNA",-0.8665,2.277375,5.19058333333333
"TCGA-AN-A0XS-01A-22R-A109-07","BRCA.mRNA",0.35025,1.538375,4.04791666666667
"TCGA-AN-A0XT-01A-11R-A109-07","BRCA.mRNA",-0.61775,2.821375,5.67075
"TCGA-AN-A0XU-01A-11R-A109-07","BRCA.mRNA",-0.652,-2.235625,0.114416666666667
"TCGA-AN-A0XV-01A-11R-A109-07","BRCA.mRNA",0.97,2.401625,4.59366666666667
"TCGA-AN-A0XW-01A-11R-A109-07","BRCA.mRNA",0.6865,1.39775,2.18433333333333
"TCGA-AO-A03L-01A-41R-A056-07","BRCA.mRNA",-0.45425,1.7015,2.30958333333333
"TCGA-AO-A03M-01B-11R-A10J-07","BRCA.mRNA",-0.85825,2.329875,1.61691666666667
"TCGA-AO-A03N-01B-11R-A10J-07","BRCA.mRNA",0.89325,2.716375,2.2985
"TCGA-AO-A03O-01A-11R-A00Z-07","BRCA.mRNA",-0.4025,2.266,4.23791666666667
"TCGA-AO-A03P-01A-11R-A00Z-07","BRCA.mRNA",-0.7585,2.763375,4.40491666666667
"TCGA-AO-A03R-01A-21R-A034-07","BRCA.mRNA",-1.028,2.84425,3.81108333333333
"TCGA-AO-A03T-01A-21R-A034-07","BRCA.mRNA",-0.394333333333333,2.177375,2.38
"TCGA-AO-A03U-01B-21R-A10J-07","BRCA.mRNA",-0.21325,-0.996375,-1.60025
"TCGA-AO-A03V-01A-11R-A115-07","BRCA.mRNA",-0.9225,2.1805,2.59416666666667
"TCGA-AO-A0J2-01A-11R-A034-07","BRCA.mRNA",-0.50825,0.150625,-1.74525
"TCGA-AO-A0J3-01A-11R-A034-07","BRCA.mRNA",0.763,3.5125,4.86016666666667
"TCGA-AO-A0J4-01A-11R-A034-07","BRCA.mRNA",-0.2075,-3.02475,-3.17008333333333
"TCGA-AO-A0J5-01A-11R-A034-07","BRCA.mRNA",-0.270666666666667,3.149875,3.49725
"TCGA-AO-A0J6-01A-11R-A034-07","BRCA.mRNA",-0.31675,-0.578,-1.21266666666667
"TCGA-AO-A0J7-01A-11R-A034-07","BRCA.mRNA",0.062,2.46925,4.98875
"TCGA-AO-A0J8-01A-21R-A034-07","BRCA.mRNA",-0.25525,2.521625,4.39908333333333
"TCGA-AO-A0J9-01A-11R-A034-07","BRCA.mRNA",-0.43625,1.65825,3.15241666666667
"TCGA-AO-A0JA-01A-11R-A056-07","BRCA.mRNA",-0.43475,1.434375,3.05675
"TCGA-AO-A0JB-01A-11R-A056-07","BRCA.mRNA",-0.2715,2.069875,2.48008333333333
"TCGA-AO-A0JC-01A-11R-A056-07","BRCA.mRNA",-0.29425,0.783375,2.5715
"TCGA-AO-A0JD-01A-11R-A056-07","BRCA.mRNA",-0.1725,1.52525,3.41158333333333
"TCGA-AO-A0JE-01A-11R-A056-07","BRCA.mRNA",0.408,-0.547625,-1.7225
"TCGA-AO-A0JF-01A-11R-A056-07","BRCA.mRNA",-0.546,1.575875,3.73133333333333
"TCGA-AO-A0JG-01A-31R-A084-07","BRCA.mRNA",0.20675,3.765875,3.69633333333333
"TCGA-AO-A0JI-01A-21R-A056-07","BRCA.mRNA",-0.02075,2.972,4.77225
"TCGA-AO-A0JJ-01A-11R-A056-07","BRCA.mRNA",-0.52775,2.32575,4.3685
"TCGA-AO-A0JL-01A-11R-A056-07","BRCA.mRNA",-0.14525,-1.79525,-3.82863636363636
"TCGA-AO-A0JM-01A-21R-A056-07","BRCA.mRNA",0.41775,2.260625,2.04625
"TCGA-AO-A124-01A-11R-A10J-07","BRCA.mRNA",-0.07225,-1.76325,-4.56358333333333
"TCGA-AO-A125-01A-11R-A10J-07","BRCA.mRNA",0.5845,2.84325,5.24108333333333
"TCGA-AO-A126-01A-11R-A10J-07","BRCA.mRNA",0.44575,3.254,2.0705
"TCGA-AO-A128-01A-11R-A10J-07","BRCA.mRNA",0.57275,-2.92075,0.1615
"TCGA-AO-A129-01A-21R-A10J-07","BRCA.mRNA",-0.919,-0.21325,-1.25591666666667
"TCGA-AO-A12A-01A-21R-A115-07","BRCA.mRNA",0.49225,2.570375,3.11916666666667
"TCGA-AO-A12B-01A-11R-A10J-07","BRCA.mRNA",-0.1575,2.00225,6.11083333333333
"TCGA-AO-A12C-01A-11R-A10J-07","BRCA.mRNA",0.399,2.549125,2.67783333333333
"TCGA-AO-A12D-01A-11R-A115-07","BRCA.mRNA",0.54575,-1.1815,-1.0685
"TCGA-AO-A12E-01A-11R-A10J-07","BRCA.mRNA",0.461,1.8075,2.70758333333333
"TCGA-AO-A12F-01A-11R-A115-07","BRCA.mRNA",-0.95375,-0.192,-4.02666666666667
"TCGA-AO-A12G-01A-11R-A10J-07","BRCA.mRNA",-0.8095,1.686,4.15933333333333
"TCGA-AO-A12H-01A-11R-A115-07","BRCA.mRNA",-0.86975,3.395125,6.00108333333333
"TCGA-AQ-A04H-01B-11R-A10J-07","BRCA.mRNA",-0.4895,2.856,5.56141666666667
"TCGA-AQ-A04J-01A-02R-A034-07","BRCA.mRNA",-1.0555,-1.15875,-1.18633333333333
"TCGA-AQ-A04L-01B-21R-A10J-07","BRCA.mRNA",-0.8905,0.670625,1.92833333333333
"TCGA-AR-A0TP-01A-11R-A084-07","BRCA.mRNA",-1.021,-5.2445,-4.64716666666667
"TCGA-AR-A0TQ-01A-11R-A084-07","BRCA.mRNA",0.019,2.836875,2.15166666666667
"TCGA-AR-A0TR-01A-11R-A084-07","BRCA.mRNA",-0.834,2.9515,5.18466666666667
"TCGA-AR-A0TS-01A-11R-A115-07","BRCA.mRNA",-0.34875,-2.98025,-2.37908333333333
